,listing_name,price,depreciation,reg_date,eng_cap,mileage,veh_type
1106,BMW 2 Series 218i Gran Coupe M-Sport,"$155,888","$16,340 /yr",30-Nov-2020,"1,499 cc","42,077 km",Luxury
1107,Toyota Wish 1.8A (COE till 09/2023),"$13,800","$13,150 /yr",23-Sep-2008,"1,794 cc",-,MPV
1108,Mitsubishi Eclipse Cross 1.5A,"$102,800","$14,260 /yr",11-Dec-2018,"1,499 cc","84,000 km",SUV
1109,Honda Shuttle Hybrid 1.5A Honda Sensing,"$89,800","$13,610 /yr",15-Oct-2018,"1,496 cc","70,000 km",Stationwagon
1110,Mercedes-Benz C-Class C180 Coupe,"$150,800","$22,230 /yr",31-May-2018,"1,595 cc","38,000 km",Sports
1111,Hyundai Accent 1.4A,"$70,999","$10,770 /yr",15-Nov-2018,"1,368 cc","43,000 km",Sedan
1112,Honda Shuttle 1.5A G Honda Sensing,"$112,000","$11,790 /yr",15-Dec-2021,"1,496 cc",-,Stationwagon
1113,Porsche 911 Carrera S Coupe 3.0A PDK,"$636,888","$66,920 /yr",05-Jun-2020,"2,981 cc","14,000 km",Sports
1114,Citroen Berlingo 1.5A BlueHDi,"$63,888","$8,830 /yr",27-Nov-2019,"1,499 cc","49,708 km",Van
1115,Honda Fit Hybrid 1.5A,"$82,888","$11,830 /yr",29-Apr-2019,"1,496 cc","35,206 km",Hatchback
1116,Audi A3 2.0A TFSI Quattro S-Line (COE till 04/2029),"$77,800","$11,690 /yr",10-Jun-2009,"1,984 cc",-,Hatchback
1117,Mitsubishi Lancer EX 1.5A (COE till 09/2023),"$10,888","$10,320 /yr",25-Sep-2008,"1,499 cc","183,000 km",Sedan
1118,Volkswagen Passat CC 1.8T (COE till 03/2024),"$20,300","$12,910 /yr",08-Apr-2009,"1,798 cc",-,Luxury
1119,Nissan Teana 2.0A XL,"$70,800","$13,420 /yr",20-Dec-2016,"1,997 cc","102,000 km",Luxury
1120,Audi A7 Sportback Mild Hybrid 3.0A TFSI Quattro S-tronic,"$293,888","$35,330 /yr",28-Jun-2019,"2,995 cc","11,000 km",Luxury
1121,Mazda 3 1.5A Deluxe Sunroof,"$54,800","$13,010 /yr",13-May-2016,"1,496 cc","98,176 km",Sedan
1122,Mercedes-Benz E-Class E200 AMG Line,"$155,800","$23,910 /yr",27-Jun-2017,"1,991 cc","99,865 km",Luxury
1123,Volvo S60 T4 Momentum,"$149,800","$17,400 /yr",24-Feb-2020,"1,969 cc","39,000 km",Luxury
1124,Honda Vezel 1.5A X,"$64,800","$13,840 /yr",21-Nov-2016,"1,496 cc","73,000 km",SUV
1125,Hyundai Avante 1.6A GLS,"$90,800","$10,700 /yr",16-Jul-2020,"1,591 cc","50,000 km",Sedan
1126,Honda Jazz 1.3A L (COE till 11/2023),"$12,999","$10,500 /yr",20-Mar-2009,"1,339 cc","105,000 km",Hatchback
1127,Mercedes-Benz CLA-Class CLA180 AMG Line,"$62,888","$20,760 /yr",03-Mar-2015,"1,595 cc","109,000 km",Luxury
1128,Toyota Harrier 2.0A Premium Panoramic Roof,"$74,500","$17,160 /yr",29-Feb-2016,"1,986 cc","101,888 km",SUV
1129,Land Rover Range Rover Evoque Mild Hybrid 2.0A R-Dynamic SE,"$253,800","$25,020 /yr",30-Sep-2021,"1,997 cc","3,000 km",SUV
1130,Nissan Qashqai 1.2A DIG-T Premium,"$53,500","$12,780 /yr",25-Apr-2016,"1,197 cc","103,008 km",SUV
1131,Citroen Grand C4 Picasso Diesel 1.6A BlueHDi Panoramic Roof,"$58,300","$14,140 /yr",21-Apr-2016,"1,560 cc","137,500 km",MPV
1132,MINI Cooper Countryman 1.6A (COE till 01/2031),"$88,900","$10,570 /yr",11-Feb-2011,"1,598 cc","134,814 km",Hatchback
1133,Mercedes-Benz GLA-Class GLA180 Urban Edition,"$139,998","$16,910 /yr",15-Jan-2020,"1,595 cc","20,000 km",SUV
1134,Honda Odyssey 2.4A (COE till 03/2029),"$66,888","$10,170 /yr",14-Apr-2009,"2,354 cc","178,000 km",MPV
1135,Porsche Boxster 2.9A (COE till 07/2032),"$225,000","$22,700 /yr",16-Aug-2012,"2,893 cc","78,725 km",Sports
1136,BMW 4 Series 420i Convertible M-Sport,"$275,000","$25,490 /yr",26-Jan-2022,"1,998 cc","5,000 km",Sports
1137,BMW 5 Series 530i,"$148,800","$23,310 /yr",29-Sep-2017,"1,998 cc","136,277 km",Luxury
1138,BMW 3 Series 320i Highline,"$181,800","$19,320 /yr",26-Aug-2020,"1,998 cc","50,000 km",Luxury
1139,Toyota Estima 2.4A Aeras Premium Welcab,"$123,800","$22,450 /yr",05-Apr-2017,"2,362 cc","41,000 km",MPV
1140,MINI Cooper S 2.0A 5DR,"$81,800","$19,760 /yr",29-Feb-2016,"1,998 cc","77,718 km",Sports
1141,Toyota Sienta 1.5A G,"$59,800","$13,850 /yr",19-Aug-2016,"1,496 cc","91,430 km",MPV
1142,BMW X1 sDrive18i xLine,"$188,888","$16,960 /yr",31-May-2022,"1,499 cc",30 km,SUV
1143,Lexus NX Turbo NX350 F Sport,"$293,800","$27,420 /yr",28-Feb-2022,"2,393 cc","1,234 km",SUV
1144,Volvo V40 Diesel D2,"$43,500","$13,690 /yr",25-Jun-2015,"1,560 cc","180,000 km",Hatchback
1145,Audi A5 Sportback 2.0A TFSI S-tronic Design,"$123,800","$20,950 /yr",28-Jul-2017,"1,984 cc","75,470 km",Luxury
1146,Honda Fit 1.3A G Skyroof (COE till 02/2024),"$16,800","$11,700 /yr",11-Feb-2009,"1,339 cc",-,Hatchback
1147,Volkswagen Jetta GP 1.4A TSI,"$56,800","$11,940 /yr",09-Sep-2016,"1,390 cc","60,000 km",Sedan
1148,Suzuki Vitara 1.6A GLX,"$73,800","$13,250 /yr",26-Oct-2017,"1,586 cc","75,000 km",SUV
1149,Jaguar F-PACE Diesel 2.0A Prestige,"$145,800","$22,100 /yr",18-Aug-2017,"1,999 cc","70,000 km",SUV
1150,Mazda 5 2.0A Sunroof,"$55,800","$13,000 /yr",31-Mar-2016,"1,998 cc","103,511 km",MPV
1151,Kia Sorento 2.4A GDi Sunroof,"$69,100","$17,040 /yr",19-Aug-2015,"2,359 cc","45,300 km",SUV
1152,Mercedes-Benz C-Class C160 Avantgarde,"$169,800","$18,060 /yr",22-Dec-2020,"1,497 cc","17,852 km",Luxury
1153,Volkswagen Golf GTI 5DR Sunroof,"$189,800","$19,760 /yr",23-Mar-2021,"1,984 cc","7,000 km",Sports
1154,Honda Fit 1.3A G (COE till 06/2024),"$21,800","$11,970 /yr",15-Jul-2009,"1,339 cc","140,000 km",Hatchback
1155,BMW 4 Series 420i Coupe Sunroof,"$109,800","$23,130 /yr",02-Jun-2016,"1,997 cc","98,000 km",Sports
1156,Toyota Estima 2.4A Aeras S Moonroof (COE till 06/2027),"$60,800","$12,650 /yr",26-Jun-2007,"2,362 cc","127,900 km",MPV
1157,Hyundai Avante 1.6A GLS S,"$81,888","$11,510 /yr",27-Feb-2019,"1,591 cc",-,Sedan
1158,Mazda 5 2.0A Sunroof,"$73,800","$13,370 /yr",19-Jun-2017,"1,998 cc","98,052 km",MPV
1159,Mercedes-Benz GLA-Class GLA180,"$86,800","$20,620 /yr",08-Apr-2016,"1,595 cc","69,149 km",SUV
1160,Honda Freed Hybrid 1.5A G 7-Seater,"$106,800","$14,070 /yr",22-Aug-2019,"1,496 cc","38,000 km",MPV
1161,Honda Vezel 1.5A X,"$95,000","$11,980 /yr",13-Dec-2019,"1,496 cc","32,000 km",SUV
1162,Honda Shuttle 1.5A G LED,"$77,800","$12,670 /yr",25-May-2018,"1,496 cc","55,000 km",Stationwagon
1163,Mercedes-Benz GLC-Class GLC200,"$166,800","$23,400 /yr",12-Sep-2018,"1,991 cc","55,000 km",SUV
1164,Nissan X-Trail 2.0A 7-Seater Sunroof,"$64,800","$13,940 /yr",25-Jun-2016,"1,997 cc",-,SUV
1165,Toyota Sienta Hybrid 1.5A X,"$87,888","$14,070 /yr",01-Jun-2018,"1,496 cc","45,000 km",MPV
1166,Renault Grand Scenic Diesel 1.5A dCi Sunroof,"$76,955","$14,530 /yr",18-Jul-2017,"1,461 cc","64,000 km",MPV
1167,Subaru XV 2.0i-S EyeSight Sunroof,"$99,800","$13,440 /yr",13-Jul-2019,"1,995 cc","53,328 km",SUV
1168,Mercedes-Benz GLA-Class GLA180 Urban Edition,"$136,800","$18,010 /yr",28-Jun-2019,"1,595 cc","36,878 km",SUV
1169,Subaru Forester 2.0i-L Sunroof,"$82,800","$14,520 /yr",02-Dec-2017,"1,995 cc","55,506 km",SUV
1170,Volkswagen Passat 1.8A TFSI,"$199,888","$26,750 /yr",18-Jul-2019,"1,798 cc","53,500 km",Luxury
1171,Hyundai Elantra 1.6A GLS (OPC),"$67,888","$10,060 /yr",15-Nov-2018,"1,591 cc","39,300 km",Sedan
1172,Toyota Corolla Altis 1.6A Elegance,"$89,800","$11,960 /yr",27-Mar-2019,"1,598 cc","40,000 km",Sedan
1173,Toyota Prius Plus Hybrid 1.8A,"$142,800","$16,120 /yr",19-Jan-2021,"1,798 cc","52,000 km",MPV
1174,Kia Cerato 1.6A EX,"$89,800","$11,640 /yr",04-Oct-2019,"1,591 cc","44,369 km",Sedan
1175,McLaren 720S,"$796,888","$110,030 /yr",13-Feb-2018,"3,994 cc","8,000 km",Sports
1176,Mazda 3 1.6A Luxury (COE till 08/2029),"$59,999","$8,680 /yr",03-Aug-2009,"1,598 cc","109,760 km",Sedan
1177,Toyota Vios 1.5A E,"$90,800","$10,590 /yr",04-Aug-2020,"1,496 cc","24,800 km",Sedan
1178,Honda Stream 1.8A Style Edition (COE till 04/2029),"$65,800","$9,880 /yr",22-May-2009,"1,799 cc","166,271 km",MPV
1179,Audi Q3 1.4A TFSI S-Tronic,"$98,800","$17,470 /yr",15-May-2017,"1,395 cc","98,000 km",SUV
1180,Mercedes-Benz C-Class C180 CGI (New 10-yr COE),"$106,800","$10,670 /yr",25-Oct-2012,"1,595 cc","115,300 km",Luxury
1181,Honda Shuttle 1.5A G,"$76,500","$12,540 /yr",05-Jun-2018,"1,496 cc","65,320 km",Stationwagon
1182,Mercedes-Benz E-Class E200,"$80,888","$19,890 /yr",22-Jun-2015,"1,991 cc","103,888 km",Luxury
1183,Maxus G10 2.0A Flagship,"$139,800","$13,640 /yr",03-Nov-2021,"1,995 cc","10,000 km",MPV
1184,BMW 2 Series 216i Gran Tourer,"$148,800","$15,580 /yr",05-Jan-2021,"1,499 cc","19,268 km",MPV
1185,BMW iX3 Electric M-Sport Impressive Sunroof,"$269,800","$27,500 /yr",08-Nov-2021,-,"10,500 km",SUV
1186,BMW 7 Series 730Li Sunroof,"$104,800","$24,400 /yr",12-Aug-2014,"2,996 cc","85,000 km",Luxury
1187,Toyota Townace 1.5A GL,"$70,888","$7,230 /yr",23-Jun-2022,"1,496 cc",-,Van
1188,Mercedes-Benz C-Class C180K Avantgarde (COE till 06/2032),"$96,800","$9,880 /yr",21-Jun-2012,"1,597 cc","150,000 km",Luxury
1189,Mercedes-Benz E-Class E250 Estate CGI Avantgarde,"$185,800","$25,730 /yr",22-May-2018,"1,991 cc","24,000 km",Stationwagon
1190,Audi A5 Coupe 2.0A TFSI Quattro (COE till 05/2031),"$98,800","$11,300 /yr",16-Jun-2011,"1,984 cc","90,000 km",Sports
1191,BMW 1 Series 116i (COE till 06/2027),"$58,200","$12,200 /yr",12-Jun-2012,"1,598 cc","112,000 km",Hatchback
1192,Toyota Corolla Altis 1.6A Elegance (COE till 08/2024),"$22,800","$11,450 /yr",15-Sep-2009,"1,598 cc","148,000 km",Sedan
1193,Ferrari 360 Spider F1 (COE till 10/2031),"$358,800","$39,160 /yr",08-Aug-2002,"3,586 cc","34,000 km",Sports
1194,Honda N-Van Turbo Style Fun Honda Sensing,"$69,800","$7,140 /yr",14-Jun-2022,658 cc,100 km,Van
1195,Renault Grand Scenic Diesel 1.5A dCi Sunroof,"$93,955","$14,080 /yr",20-Sep-2018,"1,461 cc","54,000 km",MPV
1196,Porsche Cayenne 3.6A Tip (COE till 07/2030),"$139,800",N.A,18-Oct-2011,"3,598 cc","125,080 km",SUV
1197,Volkswagen Jetta 1.4A TSI (COE till 05/2024),"$20,700","$11,900 /yr",05-Jun-2009,"1,390 cc","145,000 km",Sedan
1198,BMW X1 sDrive18i xLine,"$143,800","$18,120 /yr",14-Jun-2019,"1,499 cc","36,000 km",SUV
1199,Audi A4 2.0A TFSI S-tronic,"$164,800","$18,020 /yr",24-Sep-2020,"1,984 cc","28,000 km",Luxury
1200,Renault Megane RS 1.8A TCe,"$172,800","$19,030 /yr",30-Oct-2020,"1,798 cc","20,000 km",Sports
1201,Honda HR-V 1.5A DX,"$64,999","$13,500 /yr",10-Nov-2016,"1,496 cc","108,000 km",SUV
1202,Audi TT Coupe 2.0A TFSI S-tronic (COE till 04/2029),"$86,800","$13,040 /yr",09-Jul-2009,"1,984 cc","95,000 km",Sports
1203,Mercedes-Benz A-Class A200 Style,"$81,800","$17,730 /yr",02-Sep-2016,"1,595 cc","94,850 km",Hatchback
1204,Mercedes-Benz CLA-Class CLA180 Progressive,"$175,800","$19,470 /yr",28-Sep-2020,"1,332 cc","13,173 km",Luxury
1205,Lexus ES Hybrid ES300h Executive Sunroof,"$199,888","$21,370 /yr",18-Sep-2020,"2,487 cc","17,666 km",Luxury
1206,BMW 1 Series 118i 5DR,"$142,800","$15,150 /yr",30-Oct-2020,"1,499 cc","13,351 km",Hatchback
1207,Honda Accord 1.5A VTEC Turbo Sunroof,"$165,800","$16,930 /yr",20-Jan-2021,"1,498 cc","11,469 km",Luxury
1208,BMW M Series M3 Sedan Competition Package (COE till 03/2032),"$202,888","$21,190 /yr",30-Mar-2012,"3,999 cc","118,000 km",Sports
1209,Volkswagen Passat 1.8A TFSI,"$115,800","$15,690 /yr",12-Dec-2018,"1,798 cc","28,000 km",Luxury
1210,Porsche Macan Turbo 3.6A PDK,"$220,888","$60,260 /yr",19-Dec-2014,"3,604 cc","70,000 km",SUV
1211,Mitsubishi Outlander 2.0A,"$101,800","$15,360 /yr",29-Aug-2018,"1,998 cc","64,068 km",SUV
1212,Toyota Dyna 150 2.8M,"$103,800","$10,800 /yr",14-Apr-2022,"2,755 cc",-,Truck
1213,Lexus UX200 Luxury,"$149,888","$16,840 /yr",26-Mar-2020,"1,987 cc","35,618 km",SUV
1214,Volkswagen Golf 1.4A TSI,"$27,888","$25,220 /yr",29-Aug-2013,"1,395 cc","119,000 km",Hatchback
1215,Nissan Urvan NV350 2.0A,"$65,500","$6,840 /yr",29-Mar-2022,"1,998 cc",500 km,Van
1216,BMW 3 Series 320i Cabriolet (COE till 03/2029),"$110,129","$16,750 /yr",03-Jul-1989,"1,990 cc",-,Sports
1217,Honda Shuttle Hybrid 1.5A,"$92,800","$13,000 /yr",03-Apr-2019,"1,496 cc","52,189 km",Stationwagon
1218,Peugeot 5008 1.6A Puretech EAT8 Active,"$135,555","$15,110 /yr",11-Aug-2020,"1,598 cc","18,973 km",SUV
1219,Honda Civic 1.6A VTi (COE till 06/2028),"$55,868","$9,720 /yr",02-Jun-2008,"1,595 cc",-,Sedan
1220,Mercedes-Benz S-Class S450L Mild Hybrid AMG Line 4MATIC Sunroof,"$504,800","$45,970 /yr",29-Jul-2021,"2,999 cc","5,000 km",Luxury
1221,Skoda Karoq 1.5A TSI Style,"$135,800","$15,280 /yr",03-Aug-2020,"1,498 cc","33,000 km",SUV
1222,Mercedes-Benz GLC-Class GLC250 Coupe AMG Line 4MATIC,"$218,888","$25,940 /yr",05-Nov-2019,"1,991 cc","29,971 km",SUV
1223,Toyota Corolla Altis 1.6A Elegance,"$58,800","$13,450 /yr",27-Apr-2016,"1,598 cc","91,517 km",Sedan
1224,BMW 3 Series 316i Sport  (New 5-yr COE),"$72,888","$14,570 /yr",28-Mar-2013,"1,598 cc","116,000 km",Luxury
1225,Austin Mini Club (COE till 01/2031),"$77,129","$9,170 /yr",27-Mar-1980,998 cc,"90,000 km",Others
1226,Toyota Vios 1.5A E (COE till 05/2024),"$18,500","$10,630 /yr",08-Jul-2009,"1,497 cc","158,000 km",Sedan
1227,Honda Civic 1.6A VTi-S (COE till 10/2028),"$65,800","$10,810 /yr",04-Oct-2008,"1,595 cc","140,000 km",Sedan
1228,Subaru Forester 2.0i-L Sunroof,"$79,888","$14,410 /yr",29-Sep-2017,"1,995 cc","82,140 km",SUV
1229,Audi A3 Sedan 1.4A TFSI CoD S-tronic,"$109,800","$15,510 /yr",31-Oct-2018,"1,395 cc","83,000 km",Luxury
1230,Suzuki SX4 HB 1.6A (COE till 02/2029),"$60,000","$9,290 /yr",18-Feb-2009,"1,586 cc",-,Hatchback
1231,Honda City 1.5A V,"$66,588","$12,060 /yr",22-Sep-2017,"1,497 cc","61,000 km",Sedan
1232,MINI Cooper 1.6A (COE till 09/2025),"$38,000","$12,520 /yr",17-Sep-2010,"1,598 cc","142,000 km",Hatchback
1233,Audi Q7 2.0A TFSI Quattro Tip,"$137,800","$27,950 /yr",16-Mar-2016,"1,984 cc","66,028 km",SUV
1234,BMW 3 Series 316i,"$35,800","$19,350 /yr",11-Nov-2013,"1,598 cc","47,118 km",Luxury
1235,Honda Shuttle 1.5A G Honda Sensing,"$91,800","$11,890 /yr",18-Dec-2019,"1,496 cc","30,000 km",Stationwagon
1236,Toyota Wish 1.8A Elegance,"$71,800","$13,850 /yr",20-Feb-2017,"1,798 cc","60,000 km",MPV
1237,Mercedes-Benz CLA-Class CLA200 Shooting Brake Progressive,"$162,688","$18,820 /yr",27-Feb-2020,"1,332 cc","58,000 km",Stationwagon
1238,Honda Shuttle Hybrid 1.5A LED,"$95,800","$12,760 /yr",22-Aug-2019,"1,496 cc","42,000 km",Stationwagon
1239,Honda Civic 1.6A VTi,"$68,000","$14,330 /yr",28-Sep-2016,"1,597 cc","89,100 km",Sedan
1240,Toyota Corolla Axio 1.5A X Special Edition (COE till 10/2023),"$11,998","$10,480 /yr",28-Oct-2008,"1,496 cc","155,000 km",Sedan
1241,Kia Cerato K3 1.6A SX Sunroof,"$47,888","$12,490 /yr",14-Oct-2015,"1,591 cc",-,Sedan
1242,Mercedes-Benz GLA-Class GLA180 Urban Edition,"$144,000","$16,350 /yr",14-Aug-2020,"1,595 cc","11,111 km",SUV
1243,Mercedes-Benz C-Class C180 Avantgarde,"$60,988","$23,370 /yr",08-Sep-2014,"1,595 cc","106,000 km",Luxury
1244,Toyota Corolla Altis 1.6A,"$53,999","$14,070 /yr",26-Oct-2015,"1,598 cc",-,Sedan
1245,Toyota Corolla Altis 1.6A (COE till 10/2029),"$60,800","$8,490 /yr",05-Jan-2010,"1,598 cc","146,074 km",Sedan
1246,Toyota Estima 2.4A Aeras (COE till 05/2028),"$70,800","$12,330 /yr",20-Nov-2008,"2,362 cc","102,412 km",MPV
1247,Toyota Harrier Turbo 2.0A G Panoramic,"$129,999","$16,240 /yr",28-Jun-2019,"1,998 cc","86,000 km",SUV
1248,Suzuki Swift 1.0A Turbo GLX,"$73,800","$11,240 /yr",14-Sep-2018,998 cc,"40,000 km",Hatchback
1249,Mercedes Benz C-Class C180 Coupe,"$60,800","$20,650 /yr",31-Oct-2014,"1,595 cc","92,000 km",Sedan
1250,Toyota Premio 1.5A F (COE till 08/2029),"$60,800","$8,730 /yr",20-Aug-2009,"1,496 cc","144,000 km",Sedan
1251,Hyundai Avante 1.6A (COE till 08/2023),"$9,500","$9,610 /yr",03-Dec-2008,"1,591 cc",-,Sedan
1252,Honda Jazz 1.5A RS (OPC),"$45,800","$11,740 /yr",16-Feb-2016,"1,498 cc",-,Hatchback
1253,Nissan Sylphy 1.6A Premium,"$74,999","$11,000 /yr",02-Oct-2018,"1,598 cc",-,Sedan
1254,Mercedes-Benz GLA-Class GLA180 Urban Edition,"$117,800","$16,830 /yr",05-Oct-2018,"1,595 cc","61,800 km",SUV
1255,Toyota Estima 2.4A Aeras (COE till 04/2029),"$80,800","$12,140 /yr",16-Sep-2009,"2,362 cc","211,250 km",MPV
1256,Volvo V40 T2,"$74,800","$13,960 /yr",27-Apr-2017,"1,498 cc","85,000 km",Hatchback
1257,BMW 7 Series 730Li M-Sport,"$165,888","$26,860 /yr",05-Dec-2016,"1,998 cc","110,888 km",Luxury
1258,Toyota Yaris Cross 1.5A G,"$123,800","$13,570 /yr",29-Jun-2021,"1,490 cc","14,173 km",SUV
1259,Lexus RX Turbo RX200t,"$131,800","$25,280 /yr",30-Aug-2016,"1,998 cc","99,000 km",SUV
1260,Subaru XV 1.6A,"$50,800","$13,660 /yr",23-Sep-2015,"1,600 cc","80,300 km",SUV
1261,Honda HR-V 1.5A DX,"$73,800","$13,980 /yr",06-Jun-2017,"1,496 cc",-,SUV
1262,Porsche 911 S Coupe Tip (COE till 10/2027),"$183,800","$35,780 /yr",24-Oct-2007,"3,824 cc","138,000 km",Sports
1263,Toyota Harrier 2.0A Elegance Panoramic Roof,"$98,800","$16,640 /yr",29-Aug-2017,"1,986 cc","83,410 km",SUV
1264,Lexus IS250 Luxury (COE till 10/2029),"$88,800","$12,400 /yr",19-Nov-2009,"2,500 cc","130,000 km",Luxury
1265,Mercedes-Benz E-Class E200 Mild Hybrid Sport,"$249,900","$22,450 /yr",13-Aug-2022,"1,991 cc",17 km,Luxury
1266,BMW X6 xDrive35i Sunroof (COE till 08/2030),"$135,800","$17,060 /yr",19-Aug-2010,"2,979 cc","125,000 km",SUV
1267,Honda Vezel Hybrid 1.5A X,"$85,800","$13,290 /yr",07-May-2018,"1,496 cc",-,SUV
1268,BMW 7 Series 740Li Sunroof (COE till 10/2030),"$112,800","$13,820 /yr",05-Jan-2011,"2,979 cc","89,000 km",Luxury
1269,Toyota Corolla Altis 1.6A Standard,"$83,800","$12,070 /yr",19-Oct-2018,"1,598 cc","76,964 km",Sedan
1270,BMW 1 Series 116i Sportline,"$148,888","$13,970 /yr",25-Jan-2022,"1,499 cc","15,344 km",Hatchback
1271,Mercedes-Benz E-Class E200 Avantgarde,"$123,800","$21,620 /yr",18-Nov-2016,"1,991 cc","102,000 km",Luxury
1272,Honda HR-V 1.5A LX (OPC),"$62,800","$11,930 /yr",14-Mar-2017,"1,496 cc","37,402 km",SUV
1273,Mercedes-Benz E-Class E200 AMG Line Panoramic Roof,"$197,000","$22,080 /yr",11-Dec-2019,"1,991 cc","59,700 km",Luxury
1274,Honda Vezel 1.5A X,"$63,000","$13,220 /yr",12-Dec-2016,"1,496 cc","82,000 km",SUV
1275,Lexus ES Hybrid ES300h Luxury Sunroof,"$83,000","$19,460 /yr",27-Aug-2015,"2,494 cc","143,000 km",Luxury
1276,Nissan NV350 Microbus 2.5A,"$18,800","$11,590 /yr",19-Apr-2014,"2,488 cc",-,Van
1277,Kia Cerato K3 1.6A SX,"$60,800","$11,810 /yr",24-Jan-2017,"1,591 cc","95,291 km",Sedan
1278,Toyota ISIS 1.8A LX (COE till 10/2024),"$25,800","$11,950 /yr",10-Nov-2009,"1,794 cc","167,699 km",MPV
1279,Citroen Grand C4 Picasso 1.2A PureTech,"$95,988","$13,950 /yr",06-Sep-2018,"1,199 cc","47,500 km",MPV
1280,Mitsubishi Attrage 1.2A,"$58,800","$10,630 /yr",21-Dec-2017,"1,193 cc","20,800 km",Sedan
1281,BMW 1 Series 116i (COE till 01/2027),"$53,800","$12,290 /yr",20-Jan-2012,"1,598 cc",-,Hatchback
1282,Toyota Corolla Altis 1.6A (COE till 10/2028),"$50,800","$8,360 /yr",02-Oct-2008,"1,598 cc","158,282 km",Sedan
1283,Mitsubishi Attrage 1.2A,"$89,800","$10,090 /yr",28-Apr-2021,"1,193 cc","16,016 km",Sedan
1284,Lexus ES250 Luxury Sunroof,"$65,000","$23,140 /yr",13-Jun-2014,"2,494 cc","91,010 km",Luxury
1285,Toyota Sienta 1.5A X (COE till 06/2023),"$12,000","$14,700 /yr",30-Jun-2008,"1,496 cc",-,MPV
1286,Kia Seltos 1.4A GT Line Sunroof,"$118,800","$12,570 /yr",04-Feb-2021,"1,353 cc",-,SUV
1287,Toyota Corolla Altis 1.6A (COE till 09/2028),"$50,800","$8,390 /yr",22-Sep-2008,"1,598 cc",-,Sedan
1288,Toyota Corolla Altis 1.6A (COE till 08/2028),"$50,998","$8,510 /yr",26-Sep-2008,"1,598 cc","148,000 km",Sedan
1289,Honda Crossroad 1.8A (COE till 08/2023),"$12,800","$13,460 /yr",18-Aug-2008,"1,799 cc","143,000 km",SUV
1290,Toyota Vellfire 2.5A Elegance Moonroof,"$270,800","$30,220 /yr",26-Aug-2020,"2,494 cc","24,435 km",MPV
1291,Volkswagen Golf 1.4A TSI (COE till 01/2025),"$26,998","$11,200 /yr",02-Feb-2010,"1,390 cc","137,000 km",Hatchback
1292,Toyota Prius Plus Hybrid 1.8A,"$114,800","$15,650 /yr",29-Mar-2019,"1,798 cc","59,300 km",MPV
1293,Mitsubishi Attrage 1.2A,"$49,699","$10,180 /yr",24-Apr-2017,"1,193 cc","68,000 km",Sedan
1294,Volkswagen Touran Sport 1.4A TSI (COE till 03/2024),"$17,998","$11,550 /yr",27-Mar-2009,"1,390 cc","155,000 km",MPV
1295,Mercedes-Benz E-Class E250,"$94,900","$21,750 /yr",24-Aug-2015,"1,991 cc",-,Luxury
1296,Toyota Wish 1.8A X (COE till 06/2026),"$44,888","$11,740 /yr",24-Jul-2006,"1,794 cc","157,039 km",MPV
1297,Toyota Prius Alpha Hybrid 1.8A S,"$97,800","$14,960 /yr",08-Jun-2018,"1,797 cc","56,890 km",MPV
1298,BMW X1 sDrive18i,"$133,777","$17,980 /yr",27-Dec-2018,"1,499 cc","25,138 km",SUV
1299,Kia Cerato K3 1.6A,"$66,800","$11,560 /yr",11-Dec-2017,"1,591 cc","76,362 km",Sedan
1300,Toyota Estima 2.4A Aeras (COE till 05/2028),"$70,800","$12,330 /yr",12-Jun-2008,"2,362 cc","135,668 km",MPV
1301,Honda Freed 1.5A G 7-Seater (COE till 01/2024),"$17,800","$13,130 /yr",13-Jan-2009,"1,496 cc","165,000 km",MPV
1302,Honda Shuttle Hybrid 1.5A,"$78,800","$14,360 /yr",27-Dec-2017,"1,496 cc","60,159 km",Stationwagon
1303,Volvo XC60 T5 R-Design Sunroof,"$71,800","$19,270 /yr",21-May-2015,"1,969 cc","86,000 km",SUV
1304,BMW 2 Series 216i Gran Tourer,"$105,800","$16,420 /yr",20-Feb-2018,"1,499 cc","58,950 km",MPV
1305,Toyota Fortuner 2.7A (COE till 09/2025),"$46,800","$15,440 /yr",15-Sep-2005,"2,694 cc","158,976 km",SUV
1306,Nissan Latio 1.5A Sports Premium (COE till 06/2030),"$63,888","$8,170 /yr",30-Jun-2010,"1,498 cc","139,665 km",Hatchback
1307,Mitsubishi Lancer 1.5A GLX (COE till 10/2023),"$12,800","$11,590 /yr",13-Oct-2008,"1,499 cc",-,Sedan
1308,Honda Civic 1.6A VTi,"$102,800","$13,630 /yr",24-Jun-2019,"1,597 cc",-,Sedan
1309,Honda Vezel 1.5A G,"$35,800","$14,400 /yr",12-Nov-2014,"1,496 cc","135,000 km",SUV
1310,Honda Jazz 1.3A (COE till 12/2024),"$26,800","$11,730 /yr",17-Dec-2009,"1,339 cc","171,000 km",Hatchback
1311,BMW X1 sDrive18i,"$129,800","$17,850 /yr",31-Oct-2018,"1,499 cc",-,SUV
1312,Honda HR-V 1.5A LX,"$71,888","$13,980 /yr",03-Feb-2017,"1,496 cc","76,000 km",SUV
1313,Honda Fit 1.3A GF,"$78,800","$10,790 /yr",17-Sep-2019,"1,317 cc","29,000 km",Hatchback
1314,Subaru BRZ 2.0M (COE till 06/2032),"$156,700","$15,950 /yr",30-Jun-2012,"1,998 cc",-,Sports
